state,district,year,total_population,area_km2,dwellings_total,dwellings_occupied,dwellings_empty,households_total,households_single,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural
Sabah,Tuaran,2020,135665,1166,34254,29105,5149,29281,29142,4.60,68892,66773,128188,7477,124083,3035,159,911,41546,86121,7998,95739,33665,55985,4108,1717,264,84285,49119,2030,118,58,49,6,60761,74904
Sabah,Penampang,2020,162174,425,44577,40202,4375,41400,41028,3.70,85808,76366,143842,18332,108532,33104,517,1689,42572,108609,10993,123027,44345,72761,3059,2279,583,53607,83339,23294,284,661,979,10,147589,14585
Sabah,Papar,2020,150667,1243,35354,30508,4846,31066,30615,4.80,78791,71876,138188,12479,131565,5543,160,920,51488,92172,7007,113661,49266,58239,3282,1439,1435,105614,40381,4330,89,117,115,21,85964,64703
Sabah,Kudat,2020,86410,1287,19795,17504,2291,18023,17824,4.70,43921,42489,78373,8037,73387,4701,39,246,23857,56944,5609,58115,21373,32606,2332,894,910,50087,32042,3605,93,160,354,69,36915,49495
Sabah,Kota Marudu,2020,69528,1917,18876,15784,3092,16299,16248,4.30,35733,33795,66697,2831,64887,1443,44,323,21687,43160,4681,46670,14648,28731,2257,1030,4,27363,40559,670,95,91,750,0,15218,54310
Sabah,Pitas,2020,36660,1419,10419,8670,1749,8715,8705,4.20,18926,17734,34802,1858,34372,280,16,134,10617,23526,2517,25084,8748,14517,1332,487,0,21984,13765,115,110,148,538,0,0,36660
Sabah,Beaufort,2020,75716,1735,17906,14969,2937,16504,16401,4.60,38757,36959,69713,6003,64868,4196,114,535,25429,46035,4252,55310,19666,32552,2403,681,8,60739,10464,4070,165,68,208,2,17927,57789
Sabah,Kuala Penyu,2020,23710,453,6204,5268,936,5333,5276,4.40,11863,11847,22637,1073,22187,266,15,169,8202,14285,1223,16880,5599,10103,733,253,192,15256,7937,492,6,9,6,4,0,23710
Sabah,Sipitang,2020,37828,2732,9007,7899,1108,8226,8111,4.60,19671,18157,33729,4099,32951,569,44,165,12348,23380,2100,26266,8832,15984,811,342,297,26785,10543,442,18,3,5,32,16524,21304
Sabah,Tenom,2020,51328,2409,12559,11078,1481,10917,10821,4.70,26375,24953,48881,2447,46886,1749,23,223,15857,32079,3392,36328,14117,20355,1224,394,238,13678,36144,1410,20,25,47,4,0,51328
