state,district,year,total_population,area_km2,dwellings_total,dwellings_occupied,dwellings_empty,households_total,households_single,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural
Kelantan,Kota Bharu,2020,555757,403,133413,108423,24990,115485,113394,4.50,277807,277950,544531,11226,524700,16879,1390,1562,147669,372078,36010,408088,172652,202004,22060,6254,5118,531584,2916,15692,1189,340,147,3889,510456,45301
Kelantan,Machang,2020,110008,526,25946,20824,5122,21963,20864,4.90,54680,55328,108988,1020,106799,1972,104,113,35996,66567,7445,74012,31130,37272,4296,1212,102,107648,207,1960,117,46,11,19,26376,83632
Kelantan,Pasir Mas,2020,230424,570,54924,42988,11936,45128,44471,5.10,116756,113668,227898,2526,223711,3343,29,815,71914,142373,16137,158510,63770,80840,10986,2359,555,225777,231,3849,5,6,3,553,50337,180087
Kelantan,Pasir Puteh,2020,136157,423,33404,26044,7360,26440,26105,5.10,67447,68710,135280,877,133762,621,74,823,44505,81775,9877,91652,35535,48443,5459,2002,213,134566,166,1244,42,73,1,65,24532,111625
Kelantan,Tanah Merah,2020,150766,880,34696,28823,5873,30134,29536,5.00,77481,73285,146520,4246,140777,4697,375,671,46734,94652,9380,104032,39885,56444,5849,1441,413,143648,484,5017,434,17,933,233,57221,93545
Kelantan,Tumpat,2020,179943,180,42113,33715,8398,34817,34510,5.20,89192,90751,178503,1440,165052,7362,176,5913,61235,107044,11664,118708,44267,63925,8163,1926,427,166415,351,13016,83,34,17,27,63120,116823
Kelantan,Gua Musang,2020,101886,6362,25763,18512,7251,20324,20078,5.00,54745,47141,94527,7359,88598,4758,834,337,36763,60881,4242,65123,22846,35962,2560,782,2973,87932,1465,4654,765,2422,3372,1276,31322,70564
Kelantan,Kuala Krai,2020,105007,2275,28982,23131,5851,23862,23636,4.40,52863,52144,101255,3752,96637,3538,846,234,30366,67826,6815,74641,26296,41219,4975,1219,932,99601,275,3562,922,73,1,573,27048,77959
Kelantan,Jeli,2020,54656,1326,11451,9282,2169,11620,10888,4.60,27373,27283,53259,1397,52863,142,175,79,14706,37254,2696,39950,18531,18337,2127,533,422,53827,243,115,149,8,10,304,0,54656
Kelantan,Kecil Lojing,2020,10609,1817,2604,2151,453,2123,2110,5.00,5509,5100,10308,301,9692,10,590,16,4051,6305,253,6558,2317,3830,286,117,8,6126,352,33,15,270,3813,0,0,10609
Melaka,Alor Gajah,2020,249356,674,71937,48134,23803,67558,61853,3.60,128761,120595,231231,18125,184476,27861,18231,663,48058,185949,15349,201298,82841,98694,9035,3290,7438,191253,2712,28284,18679,1082,699,6647,206826,42530
Melaka,Jasin,2020,151937,679,51148,35876,15272,39361,37036,3.70,81756,70181,138701,13236,113207,12945,12024,525,29972,109947,12018,121965,47270,60567,6694,1411,6023,118087,1642,13097,12542,648,239,5682,103976,47961
Melaka,Melaka Tengah,2020,597135,359,196668,139728,56940,160155,157303,3.60,314425,282710,557429,39706,366952,164433,22104,3940,155923,405329,35883,441212,150268,244977,19012,6079,20876,378361,21928,150336,21419,3116,1307,20668,597135,0
Negeri Sembilan,Jelebu,2020,46053,1354,13349,10430,2919,11129,11048,4.10,25030,21023,43151,2902,30712,10379,1844,216,13934,28024,4095,32119,9558,19166,2251,605,539,30842,666,9832,1739,139,2832,3,0,46053
Negeri Sembilan,Kuala Pilah,2020,70331,1027,24008,18192,5816,18715,18586,3.50,35985,34346,68539,1792,55528,9199,3600,212,16144,48222,5965,54187,20577,29686,2930,902,92,55825,515,9032,3610,529,820,0,21394,48937
Negeri Sembilan,Port Dickson,2020,128689,583,50398,31350,19048,32697,32150,3.80,68275,60414,122589,6100,67695,31236,22893,765,33441,87812,7436,95248,34351,54180,4468,1043,1206,71939,2448,29892,22240,1716,451,3,89891,38798
Negeri Sembilan,Rembau,2020,47296,406,16117,11486,4631,12722,11591,3.70,23974,23322,45528,1768,39382,2301,3756,89,10003,33046,4247,37293,15542,18368,2541,669,173,40068,332,2205,3912,179,600,0,0,47296
Negeri Sembilan,Seremban,2020,692283,954,224691,171911,52780,185707,180489,3.70,358074,334209,647288,44995,386177,154915,102476,3720,168925,481573,41785,523358,187569,302922,20845,9149,2873,411915,23152,148411,98714,5864,3205,1022,647480,44803
Negeri Sembilan,Tampin,2020,88123,851,27086,21992,5094,22233,22135,3.90,46801,41322,83289,4834,52091,19342,11614,242,25313,55870,6940,62810,19192,39003,3793,762,60,54492,2224,19453,11427,291,236,0,39712,48411
Negeri Sembilan,Jempol,2020,127199,1485,36982,31242,5740,32294,32096,3.90,65835,61364,121845,5354,84836,21084,15450,475,34316,82087,10796,92883,28228,57522,5724,1112,297,86474,1986,19458,15912,1068,2300,1,33229,93970
Pahang,Bentong,2020,116799,1831,39466,30834,8632,30223,25710,3.80,66163,50636,108357,8442,66744,31502,9184,927,29067,79319,8413,87363,38519,43027,3867,1734,216,69049,1954,31709,9835,681,3568,3,72544,44255
Pahang,Cameron Highlands,2020,39004,712,15980,9557,6423,9798,9741,4.00,22225,16779,33735,5269,17337,11673,4415,310,9287,26851,2866,28844,9722,17601,922,191,408,15549,1700,11748,4870,1701,3435,1,10383,28621
Pahang,Jerantut,2020,96006,7561,26579,21832,4747,22278,21999,4.30,51142,44864,91148,4858,76832,11099,2659,558,27056,62828,6122,69217,25189,38813,3982,770,463,78418,648,11037,3035,200,2668,0,41436,54570
Pahang,Kuantan,2020,548014,2960,154355,127646,26709,145270,139677,3.80,285191,262823,531284,16730,439144,75183,14264,2693,139646,373770,34598,393930,135274,239885,13152,5283,336,449679,8421,70498,13613,1574,4227,2,454422,93592
Pahang,Lipis,2020,96620,5198,23255,20440,2815,21013,20764,4.50,51179,45441,92297,4323,81343,7339,3336,279,26412,64946,5262,70085,25619,39711,3070,1038,647,71797,4114,7014,3321,2163,8208,3,18844,77776
Pahang,Pekan,2020,121158,3805,33125,26564,6561,32130,29944,3.50,65389,55769,112921,8237,108706,1471,1077,1667,30557,85240,5361,91799,37149,46799,4923,1174,1754,104598,555,1748,1711,124,12419,3,39629,81529
Pahang,Raub,2020,96139,2269,25294,22016,3278,22918,22288,4.10,50909,45230,90838,5301,55494,29471,5473,400,25323,63799,7017,70214,24693,41089,3446,857,129,54342,1585,29297,6299,2256,2360,0,38663,57476
Pahang,Temerloh,2020,169023,2251,52014,41431,10583,42269,41851,4.00,87304,81719,163731,5292,129078,24128,9559,966,49470,107563,11990,116012,34908,73712,5162,1667,563,126947,3128,22464,9623,609,6248,4,100922,68101
Pahang,Rompin,2020,98065,5247,33471,26540,6931,27110,27001,3.60,53497,44568,89703,8362,86628,1572,916,587,27237,66136,4692,72395,23206,43327,4079,1087,696,80854,626,1999,1206,243,13135,2,10476,87589
Pahang,Maran,2020,112330,1917,29766,24481,5285,25147,24517,4.30,58711,53619,107497,4833,103262,2767,1131,337,33827,71621,6882,82116,30301,44078,6139,1268,330,105100,299,2884,1523,32,2491,1,19072,93258
Pahang,Bera,2020,98137,2214,25667,22122,3545,23378,23266,4.20,52441,45696,91719,6418,61899,25507,3838,475,26725,64346,7066,72772,25455,40846,4287,1635,549,61072,1134,25279,3973,823,5853,3,33244,64893
P.Pinang,Seberang Perai Tengah,2020,422990,238,127549,52580,25822,106330,103000,3.90,224706,198284,377594,45396,186729,150640,37984,2241,85834,313012,24144,334970,124415,179588,13810,4669,12488,207103,12625,143930,39024,6994,831,12483,410825,12165
P.Pinang,Seberang Perai Utara,2020,339095,268,100841,101727,15748,86971,85742,3.80,172448,166647,322729,16366,203492,95615,22565,1057,74308,243401,21386,255269,79850,149369,12492,4481,9077,212750,5362,90860,23298,5775,608,442,289232,49863
P.Pinang,Seberang Perai Selatan,2020,184007,242,63243,85093,10663,54648,53146,3.20,92765,91242,172525,11482,76598,65314,30128,485,38366,137580,8061,142980,36186,91742,5871,1947,7234,79647,3606,60669,28873,3659,330,7223,164912,19095
P.Pinang,Timur Laut,2020,556575,126,205559,163423,42136,177231,168192,3.10,282432,274143,503633,52942,121900,324943,51520,5270,99845,409301,47429,444310,144389,246504,20780,10770,21867,154898,39865,292135,42582,20320,6775,0,556575,0
P.Pinang,Barat Daya,2020,237738,175,89816,68881,20935,70167,69893,3.30,120203,117535,223393,14345,127180,81850,13295,1068,51432,172255,14051,184761,62987,111489,7293,2989,3,137789,13887,67214,12094,5277,1477,0,188834,48904
Perak,Batang Padang,2020,124049,1794,39982,31310,8672,33666,31767,3.60,66926,57123,118923,5126,82118,20694,15303,808,29733,82693,11623,94316,32518,49627,6550,1520,4101,70046,7111,20605,12361,3386,8520,2020,53017,71032
Perak,Manjung,2020,246977,1126,89450,61280,28170,62890,61589,3.80,133068,113909,229612,17365,133517,65855,29417,823,61023,168675,17279,185954,59830,106804,9000,2994,7326,138851,10447,55177,28322,5821,1043,7316,196912,50065
Perak,Kinta,2020,888767,1305,285237,220662,64575,244648,241082,3.50,460836,427931,838278,50489,402680,321739,110294,3565,206522,599045,83200,682245,218791,375429,38149,14180,35696,409834,35533,298133,91733,12085,7011,34438,845003,43764
Perak,Kerian,2020,166352,938,49899,39318,10581,40251,39665,4.10,85680,80672,160713,5639,124465,25322,10246,680,38014,113367,14971,128338,46688,68806,8891,1729,2224,127804,1096,24271,9738,1149,75,2219,56159,110193
Perak,Kuala Kangsar,2020,176060,2562,55199,41195,14004,49186,47336,3.60,89337,86723,171168,4892,113808,33941,22979,440,44057,116239,15764,132003,46987,70440,9324,1829,3423,113144,1478,33832,21472,890,3224,2020,122928,53132
Perak,Larut Dan Matang,2020,269584,1341,85931,69228,16703,70995,69781,3.70,139759,129825,258286,11298,170206,61566,25624,890,66432,176964,26188,203152,64472,113367,14576,4305,6432,173751,4475,58345,23456,2836,293,6428,201368,68216
Perak,Hilir Perak,2020,141959,821,43865,33393,10472,34663,34190,3.80,75894,66065,129429,12530,74304,37511,16968,646,29007,98148,14804,112952,39015,56692,7214,2205,7826,76369,2491,35854,16963,1216,1602,7464,97012,44947
Perak,Hulu Perak,2020,95076,6613,30325,22637,7688,24679,24258,3.80,49407,45669,92456,2620,82179,6949,1746,1582,26778,61038,7260,68298,23109,37990,4306,772,2121,76536,1499,7920,1374,909,6077,761,14370,80706
Perak,Perak Tengah,2020,94573,1282,35318,22995,12323,28763,23273,3.50,48763,45810,90858,3715,88256,900,1474,228,20974,66681,6918,73599,32245,35253,4292,844,965,88669,887,793,1352,336,1937,599,31642,62931
Perak,Kampar,2020,98732,667,40746,27536,13210,28809,27061,3.30,50529,48203,95097,3635,37927,46876,9941,353,19142,68663,10927,79590,32955,38368,5198,854,2215,35059,4909,45197,8588,1249,1775,1955,90796,7936
Perak,Muallim,2020,76688,949,20528,16929,3599,21282,19922,3.40,36725,39963,73488,3200,58254,6512,8249,473,14270,57660,4758,62418,33310,24326,2769,585,1428,55526,4758,6218,7269,1057,949,911,58613,18075
Perak,Bagan Datuk,2020,82785,974,20263,16400,3863,23534,23273,3.40,45898,36887,72923,9862,41240,14340,17130,213,14463,62209,6113,68322,29245,32041,4858,796,1382,47074,865,15164,17800,307,201,1374,29303,53482
Perak,Selama,2020,34439,774,11580,8968,2612,9489,9381,3.60,17416,17023,33606,833,30698,1422,1438,48,8208,22740,3491,26231,9184,14166,2289,408,184,31370,37,1402,1410,28,8,184,0,34439
Perlis,Perlis,2020,284885,819,73104,57778,15326,80850,72455,3.50,142345,142540,278455,6430,247255,20480,5124,5596,58271,204228,22386,226614,87840,116880,14652,3993,3249,250129,1670,26199,3619,525,71,2672,153297,131588
